PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND,R1_PUTTS
36689,Brooks Koepka,2019 PGA Championship,73.61,313.0,57.14,63.16,29.5,25
31323,Gary Woodland,2019 PGA Championship,70.83,311.4,60.71,57.14,30.25,30
48081,Xander Schauffele,2019 PGA Championship,69.44,307.0,60.71,45.45,31.0,33
25632,Jimmy Walker,2019 PGA Championship,69.44,304.6,58.93,59.09,30.75,30
32139,Danny Willett,2019 PGA Championship,69.44,307.0,57.14,45.45,31.5,32
33141,Keegan Bradley,2019 PGA Championship,68.06,310.1,62.5,47.83,30.75,30
27896,Ross Fisher,2019 PGA Championship,68.06,311.4,60.71,30.43,31.5,33
30925,Dustin Johnson,2019 PGA Championship,68.06,335.6,57.14,52.17,27.75,32
34363,Tyrrell Hatton,2019 PGA Championship,66.67,302.9,71.43,45.83,31.5,31
25198,Francesco Molinari,2019 PGA Championship,66.67,296.5,69.64,25.0,31.75,29
40006,Erik van Rooyen,2019 PGA Championship,66.67,305.3,62.5,37.5,29.5,31
25364,Paul Casey,2019 PGA Championship,65.28,305.6,71.43,48.0,30.0,26
52372,Cameron Champ,2019 PGA Championship,65.28,313.8,53.57,52.0,31.5,31
32102,Rickie Fowler,2019 PGA Championship,65.28,310.6,55.36,56.0,30.75,30
31646,Emiliano Grillo,2019 PGA Championship,65.28,302.9,60.71,40.0,30.5,32
23108,Matt Kuchar,2019 PGA Championship,65.28,297.8,64.29,64.0,29.75,31
35449,Adam Long,2019 PGA Championship,65.28,291.5,66.07,64.0,31.0,29
28237,Rory McIlroy,2019 PGA Championship,65.28,317.4,50.0,64.0,29.5,35
22405,Justin Rose,2019 PGA Championship,65.28,309.6,57.14,52.0,30.0,29
35450,Patrick Cantlay,2019 PGA Championship,63.89,314.6,64.29,73.08,28.25,27
39997,Corey Conners,2019 PGA Championship,63.89,297.1,69.64,50.0,31.5,35
40098,Matt Fitzpatrick,2019 PGA Championship,63.89,285.8,71.43,50.0,30.5,31
33204,Shane Lowry,2019 PGA Championship,63.89,300.0,62.5,73.08,29.25,33
33968,Thorbjørn Olesen,2019 PGA Championship,63.89,296.4,58.93,42.31,31.5,31
25818,Scott Piercy,2019 PGA Championship,63.89,304.1,58.93,46.15,30.75,31
29221,Webb Simpson,2019 PGA Championship,63.89,295.3,62.5,50.0,30.75,32
33803,Lucas Bjerregaard,2019 PGA Championship,62.5,316.6,55.36,59.26,29.75,33
34076,Joel Dahmen,2019 PGA Championship,62.5,295.8,67.86,33.33,31.75,28
