PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND
23108,Matt Kuchar,2019 THE PLAYERS Championship,81.94,278.1,69.64,69.23,32.0
27649,Brandt Snedeker,2019 THE PLAYERS Championship,81.94,282.8,62.5,38.46,30.0
28237,Rory McIlroy,2019 THE PLAYERS Championship,80.56,305.0,58.93,57.14,29.0
25493,Nick Taylor,2019 THE PLAYERS Championship,80.56,281.4,48.21,57.14,30.0
39997,Corey Conners,2019 THE PLAYERS Championship,77.78,293.9,76.79,50.0,30.5
33141,Keegan Bradley,2019 THE PLAYERS Championship,76.39,294.5,69.64,70.59,29.75
30925,Dustin Johnson,2019 THE PLAYERS Championship,76.39,306.8,55.36,58.82,29.0
29478,Kevin Kisner,2019 THE PLAYERS Championship,75.0,278.8,82.14,33.33,30.75
35879,Kelly Kraft,2019 THE PLAYERS Championship,75.0,276.1,60.71,44.44,30.25
27064,Jhonattan Vegas,2019 THE PLAYERS Championship,75.0,287.0,66.07,66.67,28.25
27644,Brian Harman,2019 THE PLAYERS Championship,73.61,287.4,69.64,68.42,28.25
28089,Jason Day,2019 THE PLAYERS Championship,72.22,296.8,64.29,65.0,28.25
30926,Chris Kirk,2019 THE PLAYERS Championship,72.22,283.5,67.86,40.0,31.25
30944,Jason Kokrak,2019 THE PLAYERS Championship,72.22,297.0,51.79,55.0,30.25
33968,Thorbjørn Olesen,2019 THE PLAYERS Championship,72.22,287.6,66.07,55.0,29.75
29908,C.T. Pan,2019 THE PLAYERS Championship,72.22,280.3,66.07,50.0,31.75
46970,Jon Rahm,2019 THE PLAYERS Championship,72.22,302.4,55.36,50.0,28.5
46501,Ollie Schniederjans,2019 THE PLAYERS Championship,72.22,320.1,57.14,60.0,28.75
8793,Tiger Woods,2019 THE PLAYERS Championship,72.22,291.0,67.86,55.0,29.25
45526,Abraham Ancer,2019 THE PLAYERS Championship,70.83,289.3,75.0,57.14,29.0
34076,Joel Dahmen,2019 THE PLAYERS Championship,70.83,279.4,69.64,71.43,29.5
30911,Tommy Fleetwood,2019 THE PLAYERS Championship,70.83,290.6,66.07,61.9,28.25
32102,Rickie Fowler,2019 THE PLAYERS Championship,70.83,296.4,50.0,47.62,29.75
21961,Charles Howell III,2019 THE PLAYERS Championship,70.83,288.3,51.79,47.62,30.25
33122,Russell Knox,2019 THE PLAYERS Championship,70.83,285.3,75.0,52.38,30.5
27129,Luke List,2019 THE PLAYERS Championship,70.83,305.8,64.29,42.86,30.75
49771,J.T. Poston,2019 THE PLAYERS Championship,70.83,288.5,66.07,71.43,28.25
48887,Matt Wallace,2019 THE PLAYERS Championship,70.83,295.4,57.14,85.71,29.75
21209,Sergio Garcia,2019 THE PLAYERS Championship,69.44,293.5,62.5,54.55,28.25
27974,Sung Kang,2019 THE PLAYERS Championship,69.44,289.0,64.29,31.82,29.25
32839,Hideki Matsuyama,2019 THE PLAYERS Championship,69.44,291.6,66.07,77.27,27.75
24502,Adam Scott,2019 THE PLAYERS Championship,69.44,293.4,62.5,72.73,28.25
34021,Bud Cauley,2019 THE PLAYERS Championship,68.06,285.3,58.93,60.87,29.0
47959,Bryson DeChambeau,2019 THE PLAYERS Championship,68.06,295.0,75.0,56.52,28.5
10809,Jim Furyk,2019 THE PLAYERS Championship,68.06,271.3,78.57,69.57,27.0
25198,Francesco Molinari,2019 THE PLAYERS Championship,68.06,287.5,55.36,56.52,28.25
26329,Louis Oosthuizen,2019 THE PLAYERS Championship,68.06,285.6,75.0,65.22,30.0
25818,Scott Piercy,2019 THE PLAYERS Championship,68.06,283.9,62.5,60.87,29.25
28252,Seamus Power,2019 THE PLAYERS Championship,68.06,293.6,58.93,52.17,28.5
23621,Rory Sabbatini,2019 THE PLAYERS Championship,68.06,278.1,67.86,56.52,28.5
25804,Bubba Watson,2019 THE PLAYERS Championship,68.06,302.8,51.79,43.48,29.75
40098,Matt Fitzpatrick,2019 THE PLAYERS Championship,66.67,279.6,62.5,45.83,27.75
31646,Emiliano Grillo,2019 THE PLAYERS Championship,66.67,282.4,71.43,62.5,28.75
35532,Tom Hoge,2019 THE PLAYERS Championship,66.67,282.0,58.93,62.5,28.75
29420,Billy Horschel,2019 THE PLAYERS Championship,66.67,287.9,53.57,66.67,28.0
27408,Martin Kaymer,2019 THE PLAYERS Championship,66.67,285.5,58.93,50.0,31.0
47993,Denny McCarthy,2019 THE PLAYERS Championship,66.67,287.0,60.71,62.5,29.75
26596,Ryan Moore,2019 THE PLAYERS Championship,66.67,275.4,64.29,62.5,28.0
34709,Eddie Pepperell,2019 THE PLAYERS Championship,66.67,272.4,62.5,70.83,26.5
24138,Ian Poulter,2019 THE PLAYERS Championship,66.67,281.9,67.86,50.0,28.5
47128,Richy Werenski,2019 THE PLAYERS Championship,66.67,281.4,64.29,50.0,29.25
40026,Daniel Berger,2019 THE PLAYERS Championship,65.28,291.1,71.43,56.0,29.0
33803,Lucas Bjerregaard,2019 THE PLAYERS Championship,65.28,293.9,66.07,68.0,28.5
29725,Tony Finau,2019 THE PLAYERS Championship,65.28,296.0,66.07,68.0,28.0
37455,Si Woo Kim,2019 THE PLAYERS Championship,65.28,281.3,60.71,56.0,28.25
33410,Andrew Landry,2019 THE PLAYERS Championship,65.28,276.5,57.14,68.0,29.25
29221,Webb Simpson,2019 THE PLAYERS Championship,65.28,279.8,78.57,76.0,26.75
33948,Byeong Hun An,2019 THE PLAYERS Championship,63.89,303.8,62.5,61.54,28.5
39546,Keith Mitchell,2019 THE PLAYERS Championship,63.89,303.1,51.79,57.69,28.75
22405,Justin Rose,2019 THE PLAYERS Championship,63.89,289.4,58.93,76.92,25.25
23325,Vaughn Taylor,2019 THE PLAYERS Championship,63.89,271.9,73.21,65.38,27.25
31323,Gary Woodland,2019 THE PLAYERS Championship,63.89,308.9,69.64,76.92,27.5
34360,Patrick Reed,2019 THE PLAYERS Championship,62.5,288.8,55.36,62.96,28.25
33448,Justin Thomas,2019 THE PLAYERS Championship,62.5,294.6,58.93,44.44,28.75
29535,Brice Garnett,2019 THE PLAYERS Championship,59.72,279.3,66.07,65.52,28.5
35891,Cameron Smith,2019 THE PLAYERS Championship,59.72,286.6,58.93,75.86,28.25
32150,Michael Thompson,2019 THE PLAYERS Championship,59.72,283.3,67.86,55.17,28.5
35617,Martin Trainer,2019 THE PLAYERS Championship,59.72,291.8,60.71,68.97,26.75
25632,Jimmy Walker,2019 THE PLAYERS Championship,59.72,297.1,55.36,51.72,27.75
19846,Brian Gay,2019 THE PLAYERS Championship,56.94,244.6,82.14,61.29,26.25
36689,Brooks Koepka,2019 THE PLAYERS Championship,56.94,299.9,55.36,58.06,27.0
34261,Scott Langley,2019 THE PLAYERS Championship,56.94,271.3,64.29,61.29,27.25
29974,Branden Grace,2019 THE PLAYERS Championship,55.56,294.1,50.0,50.0,28.5
